,phrase,label,sentiment,subjectivity,language,count
schwedische,schwedische,MISC,,,de,3
S…,S…,MISC,,,de,3
Gas,Gas,MISC,,,de,3
Leipziger,Leipziger,MISC,,,de,3
LNG-Schiffe,LNG-Schiffe,MISC,,,de,3
dänische,dänische,MISC,,,de,3
"Print-Magazin
werbefrei &amp;","Print-Magazin
werbefrei &amp;",MISC,,,de,3
COP26,COP26,MISC,,,de,3
PLUS-Inhalten,PLUS-Inhalten,MISC,,,de,3
Gaspreisbremse:,Gaspreisbremse:,MISC,0.0,0.5,de,3
Russen,Russen,MISC,-1.2,0.0,de,3
Euro,Euro,MISC,,,de,3
Fukushima-Unglück,Fukushima-Unglück,MISC,,,de,3
hessischen,hessischen,MISC,,,de,3
Wiener,Wiener,MISC,,,de,3
Speicherbetreiber.,Speicherbetreiber.,MISC,,,de,3
Strompreis.,Strompreis.,MISC,,,de,3
Ostseepipeline Nord Stream 1,Ostseepipeline Nord Stream 1,MISC,,,de,3
"Bedarfs, der Rest","Bedarfs, der Rest",MISC,,,de,3
Karlsruhe,Karlsruhe,MISC,,,de,3
Putins Krieg,Putins Krieg,MISC,,,de,3
Gaskonflikt,Gaskonflikt,MISC,,,de,3
Weltklimakonferenz COP27,Weltklimakonferenz COP27,MISC,,,de,3
kWh,kWh,MISC,,,de,3
rot-grün-rote Senat,rot-grün-rote Senat,MISC,,,de,3
COP27,COP27,MISC,0.16666666666666666,0.5,de,3
schwedischen,schwedischen,MISC,,,de,3
Blackout in,Blackout in,MISC,,,de,3
GLOBALEN,GLOBALEN,MISC,,,de,3
Katar +++,Katar +++,MISC,,,de,3
Baltic Pipe,Baltic Pipe,MISC,0.0,2.0,de,3
Münchner,Münchner,MISC,,,de,3
Was für mich bemerkenswert,Was für mich bemerkenswert,MISC,,,de,3
Twitter,Twitter,MISC,,,de,3
"Uhr
","Uhr
",MISC,,,de,3
Angriffskriegs,Angriffskriegs,MISC,,,de,3
Energiewirtschaftsgesetz.,Energiewirtschaftsgesetz.,MISC,,,de,2
Deutscher Gasspeicher-Füllstand,Deutscher Gasspeicher-Füllstand,MISC,,,de,2
Auftrag des Bundes,Auftrag des Bundes,MISC,,,de,2
deutschen Grenze,deutschen Grenze,MISC,,,de,2
Schuld,Schuld,MISC,,,de,2
russischen Armee,russischen Armee,MISC,,,de,2
Blackout-Challenge?,Blackout-Challenge?,MISC,,,de,2
September.,September.,MISC,,,de,2
Dezember-Soforthilfe,Dezember-Soforthilfe,MISC,,,de,2
Baustelle für Gaspipeline,Baustelle für Gaspipeline,MISC,,,de,2
Grünen-Delegierten,Grünen-Delegierten,MISC,,,de,2
Blackout-Warnungen,Blackout-Warnungen,MISC,,,de,2
Vorjahren,Vorjahren,MISC,,,de,2
ostukrainischen,ostukrainischen,MISC,,,de,2
Parteitagsregie,Parteitagsregie,MISC,,,de,2
Grünen-Bundesparteitags,Grünen-Bundesparteitags,MISC,,,de,2
Shell,Shell,MISC,,,de,2
Gendarmerie,Gendarmerie,MISC,,,de,2
Stromnetz.,Stromnetz.,MISC,,,de,2
Ampel-Streit,Ampel-Streit,MISC,,,de,2
gerechter,gerechter,MISC,,,de,2
AKW.,AKW.,MISC,,,de,2
Ampel-Koalitionäre,Ampel-Koalitionäre,MISC,,,de,2
Wirtschaftsministerium,Wirtschaftsministerium,MISC,,,de,2
Flüssiggas-Umwandlung,Flüssiggas-Umwandlung,MISC,,,de,2
BEGRENZUNG,BEGRENZUNG,MISC,,,de,2
Pleitewelle,Pleitewelle,MISC,,,de,2
Gaskommission.,Gaskommission.,MISC,,,de,2
niedersächsische,niedersächsische,MISC,,,de,2
Taxi,Taxi,MISC,,,de,2
Deutschland?,Deutschland?,MISC,0.0,0.0,de,2
Anschlag auf die Bahn?,Anschlag auf die Bahn?,MISC,,,de,2
Rezessionsrisiken,Rezessionsrisiken,MISC,,,de,2
Android TV,Android TV,MISC,,,de,2
Internet,Internet,MISC,,,de,2
"Teure Gasrechnungen, Angst vor Strom- und","Teure Gasrechnungen, Angst vor Strom- und",MISC,,,de,2
… ...,… ...,MISC,,,de,2
inFranken.de.,inFranken.de.,MISC,,,de,2
ÖPNV-Maskenpflicht.,ÖPNV-Maskenpflicht.,MISC,,,de,2
Im Jahr 2022,Im Jahr 2022,MISC,,,de,2
Kilowattstunden,Kilowattstunden,MISC,,,de,2
Abzocke.,Abzocke.,MISC,,,de,2
deutsch-russischen Gas-Pipelines Nord Stream 1,deutsch-russischen Gas-Pipelines Nord Stream 1,MISC,,,de,2
Nord-Stream-Explosionen,Nord-Stream-Explosionen,MISC,,,de,2
Hartz-IV-Ausgaben,Hartz-IV-Ausgaben,MISC,,,de,2
Chemieverbands VCI.,Chemieverbands VCI.,MISC,,,de,2
G…,G…,MISC,,,de,2
japanischen,japanischen,MISC,,,de,2
Flüssigerdgas.,Flüssigerdgas.,MISC,,,de,2
baden-württembergische,baden-württembergische,MISC,,,de,2
Anschläge,Anschläge,MISC,,,de,2
WM,WM,MISC,,,de,2
AKW-Machtwort,AKW-Machtwort,MISC,,,de,2
europäischer,europäischer,MISC,,,de,2
"Homeoffice boomte,","Homeoffice boomte,",MISC,,,de,2
Europäischer,Europäischer,MISC,,,de,2
Gassparen,Gassparen,MISC,,,de,2
Pandemie.,Pandemie.,MISC,,,de,2
EU-weite,EU-weite,MISC,,,de,2
Outlook,Outlook,MISC,,,de,2
Widodo,Widodo,MISC,,,de,2
Corona-Regeln.,Corona-Regeln.,MISC,,,de,2
Einsparziel,Einsparziel,MISC,,,de,2
schwäbische,schwäbische,MISC,,,de,2
News des,News des,MISC,,,de,2
Gaspreisdeckel light,Gaspreisdeckel light,MISC,,,de,2
europäischen Gasspeicherverbandes,europäischen Gasspeicherverbandes,MISC,,,de,2
chinesischen,chinesischen,MISC,,,de,2
Google Chromecast,Google Chromecast,MISC,,,de,2
Vorschau-Version,Vorschau-Version,MISC,,,de,2
AKW Buschehr,AKW Buschehr,MISC,,,de,2
Ukrainekrieg,Ukrainekrieg,MISC,,,de,2
Mi­nis­ter­prä­si­den­t,Mi­nis­ter­prä­si­den­t,MISC,,,de,2
Auftrag der Bundesregierung,Auftrag der Bundesregierung,MISC,,,de,2
Erdgas,Erdgas,MISC,,,de,2
Wirt­schafts­ver­tre­te­r,Wirt­schafts­ver­tre­te­r,MISC,,,de,2
Ukrainekrieges,Ukrainekrieges,MISC,,,de,2
Die Zeit,Die Zeit,MISC,,,de,2
Kinderheim-Skandal,Kinderheim-Skandal,MISC,,,de,2
Erdgas-Soforthilfegesetz,Erdgas-Soforthilfegesetz,MISC,,,de,2
Frieden mit Russland,Frieden mit Russland,MISC,,,de,2
Nord Stream 1,Nord Stream 1,MISC,,,de,2
Atombehörden-Chef Kotin,Atombehörden-Chef Kotin,MISC,,,de,2
Ö1,Ö1,MISC,,,de,2
Gas-Anbieter,Gas-Anbieter,MISC,,,de,2
Sternen.,Sternen.,MISC,,,de,2
Schwedische,Schwedische,MISC,,,de,2
ein Jahr,ein Jahr,MISC,,,de,2
nächsten Jahr,nächsten Jahr,MISC,,,de,2
Gaspreisdeckels,Gaspreisdeckels,MISC,,,de,2
Ukraine-Krieges,Ukraine-Krieges,MISC,0.7,0.0,de,2
SPD-Landtagsabgeordnete,SPD-Landtagsabgeordnete,MISC,,,de,2
Trigema-Boss.,Trigema-Boss.,MISC,,,de,2
Handelskrieges,Handelskrieges,MISC,,,de,2
Strompreis,Strompreis,MISC,,,de,2
amerikanischen,amerikanischen,MISC,,,de,2
Stromkrise,Stromkrise,MISC,,,de,2
Atomgesetzes,Atomgesetzes,MISC,,,de,2
Ampelregierung.,Ampelregierung.,MISC,,,de,2
Eâ€¦,Eâ€¦,MISC,,,de,2
"Foto:Â IMAGO/Nikita) 
","Foto:Â IMAGO/Nikita) 
",MISC,,,de,2
EinschÃ¤tzung,EinschÃ¤tzung,MISC,,,de,2
HamburgDas,HamburgDas,MISC,,,de,2
Containerschiff,Containerschiff,MISC,,,de,2
Wochenmitte,Wochenmitte,MISC,,,de,2
Ifo-GeschÃ¤ftsklimaindex,Ifo-GeschÃ¤ftsklimaindex,MISC,,,de,2
deutsches,deutsches,MISC,,,de,2
Blackouts,Blackouts,MISC,0.0,0.0,de,2
Revolution auf der Straße,Revolution auf der Straße,MISC,,,de,2
Gaskrise.,Gaskrise.,MISC,-1.0,0.0,de-DE,2
Systemrivalen.,Systemrivalen.,MISC,,,de,2
Wie Frostbeulen,Wie Frostbeulen,MISC,,,de,2
Kriegsende,Kriegsende,MISC,,,de,2
LNG-Gas,LNG-Gas,MISC,,,de,2
Eilige.,Eilige.,MISC,,,de,2
Stromversorgung.,Stromversorgung.,MISC,,,de,2
Ampel.,Ampel.,MISC,,,de,2
"Normalität the new normal: Alle drei Fachleute,","Normalität the new normal: Alle drei Fachleute,",MISC,,,de,2
Kieler,Kieler,MISC,,,de,2
Explosion.,Explosion.,MISC,,,de,2
japanische,japanische,MISC,,,de,2
Alarm,Alarm,MISC,,,de,2
Obdachlosigkeit,Obdachlosigkeit,MISC,,,de,2
AKW-Verlängerung.,AKW-Verlängerung.,MISC,,,de,2
Influenzanachweise,Influenzanachweise,MISC,,,de,2
Küppersbusch.,Küppersbusch.,MISC,,,de,2
Demn…,Demn…,MISC,,,de,2
Dänische,Dänische,MISC,,,de,2
dänischer,dänischer,MISC,,,de,2
Luftwaffe,Luftwaffe,MISC,,,de,2
FritzBox,FritzBox,MISC,,,de,2
Nord-Stream-Gaspipelines,Nord-Stream-Gaspipelines,MISC,,,de,2
britischen,britischen,MISC,,,de,2
Ministerpräsidenten-Konferenz,Ministerpräsidenten-Konferenz,MISC,,,de,2
Fußball-Weltmeisterschaft,Fußball-Weltmeisterschaft,MISC,,,de,2
AKW-Laufzeitverlängerung.,AKW-Laufzeitverlängerung.,MISC,,,de,2
Eisbrechers,Eisbrechers,MISC,,,de,2
Schweizer,Schweizer,MISC,,,de,2
Watch,Watch,MISC,,,de,2
Zeit der milden Temperaturen,Zeit der milden Temperaturen,MISC,,,de,2
Klimaneutral,Klimaneutral,MISC,,,de,2
Grippe-Erreger,Grippe-Erreger,MISC,,,de,2
Vererbtes Geschenk,Vererbtes Geschenk,MISC,,,de,2
EuGH.,EuGH.,MISC,,,de,2
Dezember-Abschlagszahlungen,Dezember-Abschlagszahlungen,MISC,,,de,2
"Gas, Strom, Holz, Öl","Gas, Strom, Holz, Öl",MISC,,,de,2
Gasumlage.,Gasumlage.,MISC,,,de,2
Angriff auf die Ukraine,Angriff auf die Ukraine,MISC,,,de,2
Europawahl im Mai 2024,Europawahl im Mai 2024,MISC,,,de,2
Deutscher,Deutscher,MISC,,,de,2
Sorge vor dem Blackout: Wie Sie sich auf,Sorge vor dem Blackout: Wie Sie sich auf,MISC,,,de,2
Bayern Lob,Bayern Lob,MISC,,,de,2
Bloß,Bloß,MISC,,,de,2
Dan-Axel,Dan-Axel,MISC,,,de,2
Münchener,Münchener,MISC,,,de,2
Grippestamm,Grippestamm,MISC,,,de,2
Sind Frauen die besseren Menschen?,Sind Frauen die besseren Menschen?,MISC,,,de,2
P-Konto,P-Konto,MISC,,,de,2
Di…,Di…,MISC,,,de,2
CDU-Landtagsfraktion,CDU-Landtagsfraktion,MISC,,,de,2
Streit um Gaspreisdeckel: Polen,Streit um Gaspreisdeckel: Polen,MISC,,,de,2
F…,F…,MISC,,,de,2
Wirtschaftsweise Grimm,Wirtschaftsweise Grimm,MISC,,,de,2
Zürcher,Zürcher,MISC,,,de,2
tauschen.,tauschen.,MISC,,,de,1
Auf der Suche,Auf der Suche,MISC,,,de,1
Krankenkassen-Daten,Krankenkassen-Daten,MISC,,,de,1
Uno-Klimagespräche im vergangenen Jahr,Uno-Klimagespräche im vergangenen Jahr,MISC,,,de,1
EU-Kommission.,EU-Kommission.,MISC,,,de,1
Energieversorger EnBWUrsprünglich,Energieversorger EnBWUrsprünglich,MISC,,,de,1
Manston.,Manston.,MISC,,,de,1
Zwei Jahre lang,Zwei Jahre lang,MISC,,,de,1
Erwachsenen.,Erwachsenen.,MISC,,,de,1
nächsten Jahr 30,nächsten Jahr 30,MISC,,,de,1
Blackout-Ausrüstung,Blackout-Ausrüstung,MISC,,,de,1
Parl…,Parl…,MISC,,,de,1
Jahr 2023.,Jahr 2023.,MISC,,,de,1
Parlament.,Parlament.,MISC,,,de,1
Was Männer kosten: Das teure Geschlecht.,Was Männer kosten: Das teure Geschlecht.,MISC,,,de,1
Gaspreisdeckel?,Gaspreisdeckel?,MISC,,,de,1
Covid-19-Diagnose,Covid-19-Diagnose,MISC,,,de,1
EU-Kommissionsvize,EU-Kommissionsvize,MISC,,,de,1
DüsseldorfDer Ener…,DüsseldorfDer Ener…,MISC,,,de,1
Wiwo+: Die unmoralischen Superaktien.,Wiwo+: Die unmoralischen Superaktien.,MISC,,,de,1
Winter: Warum,Winter: Warum,MISC,,,de,1
Globale CO2-Emissionen,Globale CO2-Emissionen,MISC,,,de,1
CO2-Emissionen,CO2-Emissionen,MISC,,,de,1
Gas-Sparen,Gas-Sparen,MISC,,,de,1
Ausgerechnet,Ausgerechnet,MISC,,,de,1
Jahres.,Jahres.,MISC,,,de,1
Twitter-Mitarbeiter zittern Musk-Email,Twitter-Mitarbeiter zittern Musk-Email,MISC,,,de,1
Gas-Import,Gas-Import,MISC,,,de,1
LudwigshafenDie Herstellung der Basischemikalie,LudwigshafenDie Herstellung der Basischemikalie,MISC,,,de,1
"| tagesschau.de  tagesschau.de
</li><li>""Noch","| tagesschau.de  tagesschau.de
</li><li>""Noch",MISC,,,de,1
Iran: Die Kinder der Revolution.,Iran: Die Kinder der Revolution.,MISC,,,de,1
deutsch-italienischen,deutsch-italienischen,MISC,,,de,1
Krieg gegen die Ukraine,Krieg gegen die Ukraine,MISC,,,de,1
Poesie.,Poesie.,MISC,,,de,1
Infrarot-Paneele,Infrarot-Paneele,MISC,,,de,1
Konferenz in Sharm al-Sheikh,Konferenz in Sharm al-Sheikh,MISC,,,de,1
Polizei.,Polizei.,MISC,,,de,1
Kl…,Kl…,MISC,,,de,1
"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,1
Gaspreisbremse klappt,Gaspreisbremse klappt,MISC,,,de,1
Dezember-Gas-Abschlag,Dezember-Gas-Abschlag,MISC,,,de,1
Google Chromecast: Überraschendes Updates,Google Chromecast: Überraschendes Updates,MISC,,,de,1
ukrainischer,ukrainischer,MISC,,,de,1
"NACHRICHTEN
</li><li>Strom-","NACHRICHTEN
</li><li>Strom-",MISC,,,de,1
Japans Regierung,Japans Regierung,MISC,,,de,1
barocken,barocken,MISC,,,de,1
"Wien-Alsergrund, die","Wien-Alsergrund, die",MISC,,,de,1
Die Nuklearrhetorik des Kremls,Die Nuklearrhetorik des Kremls,MISC,,,de,1
Z…,Z…,MISC,,,de,1
Warntag,Warntag,MISC,0.0,0.0,de,1
Ukraine News ++ Bund,Ukraine News ++ Bund,MISC,,,de,1
Bli…,Bli…,MISC,,,de,1
Bal…,Bal…,MISC,,,de,1
Schlechten.,Schlechten.,MISC,,,de,1
Ritter und Bettler,Ritter und Bettler,MISC,,,de,1
Deutschland: Sinken,Deutschland: Sinken,MISC,,,de,1
Aug…,Aug…,MISC,,,de,1
Google Ne…,Google Ne…,MISC,,,de,1
"russischen Bombenkrieg  zdf.de
</li><li>""Mehr","russischen Bombenkrieg  zdf.de
</li><li>""Mehr",MISC,,,de,1
Weltklimakonferenz in,Weltklimakonferenz in,MISC,,,de,1
"Krieges  DER SPIEGEL
</li><li>Zerstörung mit deutscher Hilfe?","Krieges  DER SPIEGEL
</li><li>Zerstörung mit deutscher Hilfe?",MISC,,,de,1
österreichischen,österreichischen,MISC,,,de,1
bn Tbbuxjolmfs Ebnn/,bn Tbbuxjolmfs Ebnn/,MISC,,,de,1
jtu c…,jtu c…,MISC,,,de,1
sächsischer,sächsischer,MISC,,,de,1
Blackout-Ubung,Blackout-Ubung,MISC,,,de,1
griechischen,griechischen,MISC,,,de,1
Staatsp…,Staatsp…,MISC,,,de,1
Gasprom,Gasprom,MISC,,,de,1
Wende,Wende,MISC,,,de,1
Hunderte Kinder zum Albtraum.,Hunderte Kinder zum Albtraum.,MISC,,,de,1
"ARD-Mediathek 
sehen.","ARD-Mediathek 
sehen.",MISC,,,de,1
Fußball-WM 2022,Fußball-WM 2022,MISC,,,de,1
Katar: Als Deutschland,Katar: Als Deutschland,MISC,,,de,1
Europa-League-Sieger,Europa-League-Sieger,MISC,,,de,1
Fallende Erdgaspreise,Fallende Erdgaspreise,MISC,,,de,1
Konzessionsvertrages,Konzessionsvertrages,MISC,,,de,1
IndustrieDem,IndustrieDem,MISC,,,de,1
De…,De…,MISC,,,de,1
Flugzeug-Verluste,Flugzeug-Verluste,MISC,,,de,1
Schnäppchenpreis.,Schnäppchenpreis.,MISC,,,de,1
HD-Streaming.,HD-Streaming.,MISC,,,de,1
Bundesländer im Vergleich: Wo Gas,Bundesländer im Vergleich: Wo Gas,MISC,,,de,1
"Junge Mütter, die neuen Politstars:","Junge Mütter, die neuen Politstars:",MISC,,,de,1
norwegischen,norwegischen,MISC,,,de,1
Aldi,Aldi,MISC,,,de,1
Echte Kostenfalle:,Echte Kostenfalle:,MISC,,,de,1
Homeoffice.,Homeoffice.,MISC,,,de,1
Dezemberhilfe,Dezemberhilfe,MISC,,,de,1
Mehr im Liveticker.,Mehr im Liveticker.,MISC,,,de,1
Gasverbrauchs.,Gasverbrauchs.,MISC,,,de,1
türkische,türkische,MISC,,,de,1
UN-Weltklimakonferenz in Ägypten,UN-Weltklimakonferenz in Ägypten,MISC,,,de,1
Klimakonferenz in Ägypten,Klimakonferenz in Ägypten,MISC,,,de,1
Jahr reduzier…,Jahr reduzier…,MISC,,,de,1
Dö…,Dö…,MISC,,,de,1
Miese LNG-Masche: Keine höheren Preise,Miese LNG-Masche: Keine höheren Preise,MISC,,,de,1
Aggressive El…,Aggressive El…,MISC,,,de,1
Fü…,Fü…,MISC,,,de,1
"Hand aufs Herz, liebe Mütter und Väter.","Hand aufs Herz, liebe Mütter und Väter.",MISC,,,de,1
Krieg: Ukrainische Kinder,Krieg: Ukrainische Kinder,MISC,,,de,1
HMS Queen Elizabeth,HMS Queen Elizabeth,MISC,,,de,1
WELT-Reporter,WELT-Reporter,MISC,,,de,1
Winter-Blackout,Winter-Blackout,MISC,,,de,1
"DeutschlandFoto: Dirk Sukow,","DeutschlandFoto: Dirk Sukow,",MISC,,,de,1
Krisenplan [premium],Krisenplan [premium],MISC,,,de,1
Kabel-Router FritzBox 6590 Cable,Kabel-Router FritzBox 6590 Cable,MISC,,,de,1
Kabel-Router FritzBox 6590 Cable …,Kabel-Router FritzBox 6590 Cable …,MISC,,,de,1
Norwegisches,Norwegisches,MISC,,,de,1
Klima-Versprechen,Klima-Versprechen,MISC,,,de,1
Norwegen: Wie,Norwegen: Wie,MISC,,,de,1
Krieg: Evakuierte,Krieg: Evakuierte,MISC,,,de,1
"Klima-Versprechen: ""Täuschung der internationalen Öffentlichkeit""","Klima-Versprechen: ""Täuschung der internationalen Öffentlichkeit""",MISC,,,de,1
Tisch si…,Tisch si…,MISC,,,de,1
sozialen,sozialen,MISC,,,de,1
WärmepumpenPhotovoltaikanlage,WärmepumpenPhotovoltaikanlage,MISC,,,de,1
Insight Innovation: Blackout,Insight Innovation: Blackout,MISC,,,de,1
diesem Jahr markant,diesem Jahr markant,MISC,,,de,1
StromausfallSind,StromausfallSind,MISC,,,de,1
Horror-Szenario,Horror-Szenario,MISC,,,de,1
Bundesländern.,Bundesländern.,MISC,,,de,1
Bremer Familie,Bremer Familie,MISC,,,de,1
Bundesländern:,Bundesländern:,MISC,,,de,1
Deutschla…,Deutschla…,MISC,,,de,1
französischem,französischem,MISC,,,de,1
So heizt Deutschland.,So heizt Deutschland.,MISC,,,de,1
Frauengold: Liebe,Frauengold: Liebe,MISC,,,de,1
Vorjahreskonferenz COP26,Vorjahreskonferenz COP26,MISC,,,de,1
Na…,Na…,MISC,,,de,1
Falscher Spargedanke:,Falscher Spargedanke:,MISC,,,de,1
Ein Blackout,Ein Blackout,MISC,,,de,1
Panel FReDa,Panel FReDa,MISC,,,de,1
Um Punkt 10.45 Uhr,Um Punkt 10.45 Uhr,MISC,,,de,1
Erdgasnachschub.,Erdgasnachschub.,MISC,,,de,1
Fa…,Fa…,MISC,,,de,1
Tages: Sind,Tages: Sind,MISC,,,de,1
Element5 Digital,Element5 Digital,MISC,,,de,1
Energie-Krise: Soll ich jetzt mein Haus,Energie-Krise: Soll ich jetzt mein Haus,MISC,,,de,1
UNO-Klimakonferenz in Scharm al-Scheich,UNO-Klimakonferenz in Scharm al-Scheich,MISC,,,de,1
Krisenprofiteure „abschöpfen“.,Krisenprofiteure „abschöpfen“.,MISC,,,de,1
Rheinisches,Rheinisches,MISC,,,de,1
Pandemieängste: Frauen,Pandemieängste: Frauen,MISC,,,de,1
Warmtanzen,Warmtanzen,MISC,,,de,1
Gasnetz.,Gasnetz.,MISC,,,de,1
FritzBoxen 6590,FritzBoxen 6590,MISC,,,de,1
Europa.,Europa.,MISC,,,de,1
Golden Sun Basmati Reis”,Golden Sun Basmati Reis”,MISC,,,de,1
Golden Sun Langkorn Spitzenreis”,Golden Sun Langkorn Spitzenreis”,MISC,,,de,1
Rückrufaktion f… Schimmel-Alarm: Lidl,Rückrufaktion f… Schimmel-Alarm: Lidl,MISC,,,de,1
Golden Sun…,Golden Sun…,MISC,,,de,1
Mega-Blackout,Mega-Blackout,MISC,,,de,1
Strahlende,Strahlende,MISC,,,de,1
Täter un…,Täter un…,MISC,,,de,1
Klima-Katastrophe: Weltklimakonferenz COP27,Klima-Katastrophe: Weltklimakonferenz COP27,MISC,,,de,1
Check.,Check.,MISC,,,de,1
Die Highlights im Video.,Die Highlights im Video.,MISC,,,de,1
Platz.,Platz.,MISC,,,de,1
Liveticker: +++,Liveticker: +++,MISC,,,de,1
E-Autos.,E-Autos.,MISC,,,de,1
Energiesicherheit: Warum die Angst vor dem Blackout,Energiesicherheit: Warum die Angst vor dem Blackout,MISC,,,de,1
Nichtbedürftige.,Nichtbedürftige.,MISC,0.0,0.0,de,1
"Google News Schock-Moment
","Google News Schock-Moment
",MISC,,,de,1
Gasver…,Gasver…,MISC,,,de,1
Um Abwicklung,Um Abwicklung,MISC,,,de,1
Kriegsjahr 2022,Kriegsjahr 2022,MISC,,,de,1
Dezember-Soforthi…,Dezember-Soforthi…,MISC,,,de,1
Jahr 2018,Jahr 2018,MISC,,,de,1
Sachsen,Sachsen,MISC,0.0,0.0,de,1
Backstreet Boys,Backstreet Boys,MISC,,,de,1
Sächsischen,Sächsischen,MISC,,,de,1
Nick,Nick,MISC,,,de,1
CO₂-Preis.,CO₂-Preis.,MISC,,,de,1
